sip,dip,sport,dport,prot,dsfield,ipflags,length,label,payload
10.2.3.203,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.3.203,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.3.204,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.3.203,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.3.204,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.3.204,239.255.255.250,1030,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.200.254,239.255.255.250,65416,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
fe80::9cde:db82:3925:7966,ff02::c,64869,1900,udp,,,185,ssdp,"M-SEARCH * HTTP/1.1
Host:[FF02::C]:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
10.2.199.241,239.255.255.250,55912,1900,udp,0x18,0x00,171,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:service:WANPPPConnection:1
Man:""ssdp:discover""
MX:3

"
fe80::9cde:db82:3925:7966,ff02::c,64869,1900,udp,,,185,ssdp,"M-SEARCH * HTTP/1.1
Host:[FF02::C]:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
169.254.121.102,239.255.255.250,59531,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
169.254.121.102,239.255.255.250,59531,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
169.254.121.102,239.255.255.250,59536,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
169.254.121.102,239.255.255.250,59536,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,52227,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,52227,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,52227,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
fe80::9cde:db82:3925:7966,ff02::c,49971,1900,udp,,,185,ssdp,"M-SEARCH * HTTP/1.1
Host:[FF02::C]:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,171,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
fe80::9cde:db82:3925:7966,ff02::c,49971,1900,udp,,,185,ssdp,"M-SEARCH * HTTP/1.1
Host:[FF02::C]:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,171,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-wifialliance-org:device:WFADevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,52591,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.5.205,239.255.255.250,49974,1900,udp,0x00,0x00,175,ssdp,"M-SEARCH * HTTP/1.1
Host:239.255.255.250:1900
ST:urn:schemas-upnp-org:device:InternetGatewayDevice:1
Man:""ssdp:discover""
MX:3

"
10.2.197.253,239.255.255.250,1900,1900,udp,0x00,0x00,528,ssdp,"NOTIFY * HTTP/1.1
Host:239.255.255.250:1900
NT:urn:schemas-upnp-org:device:MediaServer:1
NTS:ssdp:alive
Location:http://10.2.197.253:2869/upnphost/udhisapi.dll?content=uuid:3e57ab03-91dc-4027-8b4d-ebf636b545be
USN:uuid:3e57ab03-91dc-4027-8b4d-ebf636b545be::urn:schemas-upnp-org:device:MediaServer:1
Cache-Control:max-age=900
Server:Microsoft-Windows-NT/5.1 UPnP/1.0 UPnP-Device-Host/1.0
OPT:""http://schemas.upnp.org/upnp/1/0/""; ns=01
01-NLS:42e18d48d320d22c36a65beb48f6521f

"
10.2.197.253,239.255.255.250,1900,1900,udp,0x00,0x00,542,ssdp,"NOTIFY * HTTP/1.1
Host:239.255.255.250:1900
NT:urn:schemas-upnp-org:service:ConnectionManager:1
NTS:ssdp:alive
Location:http://10.2.197.253:2869/upnphost/udhisapi.dll?content=uuid:3e57ab03-91dc-4027-8b4d-ebf636b545be
USN:uuid:3e57ab03-91dc-4027-8b4d-ebf636b545be::urn:schemas-upnp-org:service:ConnectionManager:1
Cache-Control:max-age=900
Server:Microsoft-Windows-NT/5.1 UPnP/1.0 UPnP-Device-Host/1.0
OPT:""http://schemas.upnp.org/upnp/1/0/""; ns=01
01-NLS:42e18d48d320d22c36a65beb48f6521f

"
