sip,dip,sport,dport,prot,dsfield,ipflags,length,label,payload
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
172.16.1.116,172.16.1.119,2427,2427,udp,0x00,0x40,103,mgcp,"RQNT 1 *@gateway44.myplace.com MGCP 0.1
R: l/hd(n)
X: 2

"
